id,easting,northing,lat,lon,ws10,ws25,ws45
213,227500,96500,50.73723763,-4.452017095,5.9,6.6,7.1
214,228500,96500,50.73753468,-4.437857314,5.8,6.6,7.1
215,229500,96500,50.73783002,-4.423697294,5.6,6.3,6.9
216,230500,96500,50.73812363,-4.409537037,5.2,6,6.6
217,231500,96500,50.73841553,-4.395376545,4.8,5.6,6.2
218,213500,95500,50.72391445,-4.649721042,5.7,6.5,7.1
219,214500,95500,50.72423545,-4.635567446,6.5,7.2,7.7
220,215500,95500,50.72455473,-4.621413591,5.9,6.7,7.3
221,216500,95500,50.72487229,-4.607259481,5.7,6.6,7.2
222,217500,95500,50.72518814,-4.593105116,6.6,7.3,7.7
223,218500,95500,50.72550227,-4.578950497,6.6,7.3,7.7
224,219500,95500,50.72581468,-4.564795626,5.7,6.5,7.1
225,220500,95500,50.72612538,-4.550640505,5.5,6.3,6.9
226,221500,95500,50.72643436,-4.536485134,5.8,6.6,7.1
227,222500,95500,50.72674162,-4.522329515,6.2,6.9,7.4
228,223500,95500,50.72704717,-4.50817365,6,6.7,7.2
229,224500,95500,50.727351,-4.49401754,5.7,6.4,7
230,225500,95500,50.72765311,-4.479861185,5.6,6.4,6.9
231,226500,95500,50.7279535,-4.465704589,5.8,6.6,7.1
232,227500,95500,50.72825218,-4.451547751,6.1,6.8,7.3
233,228500,95500,50.72854914,-4.437390674,5.8,6.6,7.1
234,229500,95500,50.72884438,-4.423233358,5.7,6.4,6.9
235,230500,95500,50.7291379,-4.409075805,5.6,6.3,6.8
236,231500,95500,50.72942971,-4.394918017,5,5.8,6.4
237,232500,95500,50.7297198,-4.380759995,4.5,5.3,6
238,212500,94500,50.71460775,-4.66336476,4.3,5.3,6
239,213500,94500,50.71493036,-4.649214122,6.6,7.4,7.9
240,214500,94500,50.71525126,-4.635063225,7.1,7.7,8.1
241,215500,94500,50.71557044,-4.620912071,6.3,7.1,7.6
242,216500,94500,50.7158879,-4.606760661,6.3,7.1,7.6
243,217500,94500,50.71620365,-4.592608997,6.5,7.2,7.6
244,218500,94500,50.71651768,-4.578457079,6,6.8,7.3
245,219500,94500,50.71682999,-4.564304909,5.7,6.5,7
246,220500,94500,50.71714059,-4.550152488,5.6,6.4,7
247,221500,94500,50.71744947,-4.535999819,5.8,6.5,7
248,222500,94500,50.71775664,-4.521846902,6,6.7,7.2
249,223500,94500,50.71806209,-4.507693738,5.7,6.4,7
250,224500,94500,50.71836582,-4.493540329,5.5,6.2,6.8
251,225500,94500,50.71866784,-4.479386677,5.5,6.3,6.9
252,226500,94500,50.71896813,-4.465232782,5.8,6.6,7.2
253,227500,94500,50.71926671,-4.451078647,6.1,6.8,7.3
254,228500,94500,50.71956358,-4.436924272,6,6.8,7.2
255,229500,94500,50.71985873,-4.422769659,5.9,6.6,7.1
256,230500,94500,50.72015216,-4.408614809,5.8,6.4,6.9
257,231500,94500,50.72044387,-4.394459724,5.2,6,6.6
258,232500,94500,50.72073387,-4.380304404,4.8,5.5,6.1
259,211500,93500,50.70529953,-4.677003079,4.2,5.1,5.8
260,212500,93500,50.70562375,-4.662855399,6.2,7,7.5
261,213500,93500,50.70594626,-4.64870746,7.7,8.2,8.5
262,214500,93500,50.70626705,-4.634559262,7.2,7.8,8.3
263,215500,93500,50.70658613,-4.620410807,6.6,7.4,7.9
264,216500,93500,50.70690349,-4.606262096,6.4,7.1,7.6
265,217500,93500,50.70721914,-4.592113131,5.8,6.6,7.2
266,218500,93500,50.70753307,-4.577963912,5.3,6.2,6.8
267,219500,93500,50.70784529,-4.563814442,5.4,6.2,6.8
268,220500,93500,50.70815579,-4.549664721,5.5,6.2,6.8
269,221500,93500,50.70846457,-4.535514752,5.6,6.3,6.9
270,222500,93500,50.70877164,-4.521364534,5.6,6.3,6.9
271,223500,93500,50.70907699,-4.507214071,5.3,6.1,6.7
272,224500,93500,50.70938062,-4.493063363,5.2,6,6.6
273,225500,93500,50.70968254,-4.478912411,5.7,6.4,6.9
274,226500,93500,50.70998275,-4.464761217,6,6.8,7.2
275,227500,93500,50.71028123,-4.450609782,6.1,6.8,7.3
276,228500,93500,50.710578,-4.436458108,5.9,6.7,7.2
277,229500,93500,50.71087306,-4.422306196,5.7,6.4,6.9
278,230500,93500,50.71116639,-4.408154048,5.5,6.2,6.8
279,231500,93500,50.71145801,-4.394001664,5.5,6.2,6.7
280,232500,93500,50.71174792,-4.379849046,4.9,5.7,6.3
281,210500,92500,50.69598978,-4.690636003,4,4.9,5.6
282,211500,92500,50.69631561,-4.676491282,5.4,6.3,6.9
283,212500,92500,50.69663973,-4.662346299,7,7.6,8
284,213500,92500,50.69696214,-4.648201057,7,7.7,8.1
285,214500,92500,50.69728283,-4.634055556,7,7.7,8.1
286,215500,92500,50.69760181,-4.619909799,6.6,7.4,7.9
287,216500,92500,50.69791907,-4.605763786,6.1,6.9,7.5
288,217500,92500,50.69823462,-4.591617518,5.5,6.3,7
289,218500,92500,50.69854845,-4.577470997,5.6,6.3,6.9
290,219500,92500,50.69886056,-4.563324225,5.4,6.2,6.8
291,220500,92500,50.69917096,-4.549177203,5.4,6.2,6.8
292,221500,92500,50.69947965,-4.535029932,5.4,6.1,6.7
293,222500,92500,50.69978662,-4.520882413,5,5.8,6.4
294,223500,92500,50.70009187,-4.506734649,5,5.8,6.4
295,224500,92500,50.70039541,-4.492586639,5.1,5.9,6.5
296,225500,92500,50.70069724,-4.478438387,5.6,6.3,6.9
297,226500,92500,50.70099734,-4.464289892,5.9,6.6,7.1
298,227500,92500,50.70129573,-4.450141157,5.8,6.5,7
299,228500,92500,50.70159241,-4.435992183,5.4,6.2,6.7
300,229500,92500,50.70188737,-4.421842971,5.3,6.1,6.6
301,230500,92500,50.70218061,-4.407693522,5.3,6.1,6.6
302,231500,92500,50.70247214,-4.393543838,5.3,6,6.6
303,232500,92500,50.70276195,-4.379393921,4.7,5.6,6.2
304,208500,91500,50.68634934,-4.718405034,4.2,5.1,5.7
305,209500,91500,50.6866785,-4.704263535,4.1,5.1,5.8
306,210500,91500,50.68700595,-4.690121771,4.5,5.4,6.1
307,211500,91500,50.68733168,-4.675979745,5.7,6.5,7
308,212500,91500,50.6876557,-4.661837459,5.6,6.4,7
309,213500,91500,50.687978,-4.647694912,5.4,6.3,7
310,214500,91500,50.68829859,-4.633552108,6,6.9,7.5
311,215500,91500,50.68861747,-4.619409046,6.8,7.5,8
312,216500,91500,50.68893463,-4.605265729,6.3,7.1,7.6
313,217500,91500,50.68925007,-4.591122158,5.5,6.3,7
314,218500,91500,50.6895638,-4.576978334,5.8,6.6,7.2
315,219500,91500,50.68987582,-4.562834259,6.2,6.9,7.4
316,220500,91500,50.69018612,-4.548689933,5.8,6.6,7.1
317,221500,91500,50.69049471,-4.53454536,5,5.8,6.4
318,222500,91500,50.69080158,-4.520400538,4.6,5.5,6.1
319,223500,91500,50.69110674,-4.506255471,4.9,5.7,6.3
320,224500,91500,50.69141018,-4.492110159,5,5.8,6.4
321,225500,91500,50.69171191,-4.477964605,5.3,6,6.6
322,226500,91500,50.69201192,-4.463818808,5.6,6.3,6.8
323,227500,91500,50.69231022,-4.449672771,5.3,6.1,6.7
324,228500,91500,50.6926068,-4.435526495,4.9,5.8,6.4
325,229500,91500,50.69290167,-4.421379981,5.1,5.9,6.5
326,230500,91500,50.69319482,-4.407233231,5.4,6.1,6.6
327,231500,91500,50.69348625,-4.393086246,5.2,5.9,6.5
328,232500,91500,50.69377597,-4.378939028,4.8,5.6,6.2
329,207500,90500,50.67703493,-4.732024219,5,5.8,6.3
330,208500,90500,50.6773657,-4.717885678,5.2,6,6.6
331,209500,90500,50.67769476,-4.703746872,5.5,6.3,6.9
332,210500,90500,50.6780221,-4.689607802,5.5,6.4,7
333,211500,90500,50.67834773,-4.67546847,5.5,6.4,7
334,212500,90500,50.67867164,-4.661328878,5.4,6.3,6.9
335,213500,90500,50.67899385,-4.647189026,5.6,6.5,7.2
